AN_BASE,NM_PROGRAMA_IES,AN_INICIO_PROGRAMA,SG_ENTIDADE_ENSINO,NM_AREA_AVALIACAO,NM_MODALIDADE_PROGRAMA,NM_AREA_CONCENTRACAO,ID_PROJETO,NM_PROJETO,NM_NATUREZA_PROJETO,DH_INICIO,DT_SITUACAO_ATUAL,IN_BOLSA,IN_OUTRO_AUXILIO,IN_RESPONSAVEL_PROJETO,ID_PESSOA,DS_TIPO_MEMBRO,NM_PAIS_NACIONALIDADE_MEMBRO
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,530956,COSMOLOGIA DE 21 CM COM O RÁDIO TELESCÓPIO BINGO,PESQUISA,01/12/2016,01/12/2016,NÃO,SIM,0,639425,DISCENTE,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,530956,COSMOLOGIA DE 21 CM COM O RÁDIO TELESCÓPIO BINGO,PESQUISA,01/12/2016,01/12/2016,NÃO,SIM,0,20599,PARTICIPANTE EXTERNO,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,530956,COSMOLOGIA DE 21 CM COM O RÁDIO TELESCÓPIO BINGO,PESQUISA,01/12/2016,01/12/2016,NÃO,SIM,0,3055224,DISCENTE,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,530956,COSMOLOGIA DE 21 CM COM O RÁDIO TELESCÓPIO BINGO,PESQUISA,01/12/2016,01/12/2016,NÃO,SIM,0,199074,PÓS-DOC,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,530956,COSMOLOGIA DE 21 CM COM O RÁDIO TELESCÓPIO BINGO,PESQUISA,01/12/2016,01/12/2016,NÃO,SIM,1,6594,DOCENTE,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,530956,COSMOLOGIA DE 21 CM COM O RÁDIO TELESCÓPIO BINGO,PESQUISA,01/12/2016,01/12/2016,NÃO,SIM,0,292789,PÓS-DOC,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,530956,COSMOLOGIA DE 21 CM COM O RÁDIO TELESCÓPIO BINGO,PESQUISA,01/12/2016,01/12/2016,NÃO,SIM,0,1411408,PÓS-DOC,ITÁLIA
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189548,COSMOLOGIA E RADIAÇÃO CÓSMICA DE FUNDO,PESQUISA,01/03/1989,01/03/1989,NÃO,NÃO,0,402994,PARTICIPANTE EXTERNO,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189548,COSMOLOGIA E RADIAÇÃO CÓSMICA DE FUNDO,PESQUISA,01/03/1989,01/03/1989,NÃO,NÃO,0,14827,PARTICIPANTE EXTERNO,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189548,COSMOLOGIA E RADIAÇÃO CÓSMICA DE FUNDO,PESQUISA,01/03/1989,01/03/1989,NÃO,NÃO,0,230819,PARTICIPANTE EXTERNO,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189548,COSMOLOGIA E RADIAÇÃO CÓSMICA DE FUNDO,PESQUISA,01/03/1989,01/03/1989,NÃO,NÃO,1,6594,DOCENTE,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189545,DESENVOLVIMENTO DO EXPERIMENTO ESPACIAL MIRAX (MONITOR E IMAGEADOR DE RAIOS X),PESQUISA,01/01/2000,01/01/2000,NÃO,NÃO,0,2134053,DISCENTE,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189545,DESENVOLVIMENTO DO EXPERIMENTO ESPACIAL MIRAX (MONITOR E IMAGEADOR DE RAIOS X),PESQUISA,01/01/2000,01/01/2000,NÃO,NÃO,0,1320513,PARTICIPANTE EXTERNO,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189545,DESENVOLVIMENTO DO EXPERIMENTO ESPACIAL MIRAX (MONITOR E IMAGEADOR DE RAIOS X),PESQUISA,01/01/2000,01/01/2000,NÃO,NÃO,0,1056303,PARTICIPANTE EXTERNO,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189545,DESENVOLVIMENTO DO EXPERIMENTO ESPACIAL MIRAX (MONITOR E IMAGEADOR DE RAIOS X),PESQUISA,01/01/2000,01/01/2000,NÃO,NÃO,0,954412,DOCENTE,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189545,DESENVOLVIMENTO DO EXPERIMENTO ESPACIAL MIRAX (MONITOR E IMAGEADOR DE RAIOS X),PESQUISA,01/01/2000,01/01/2000,NÃO,NÃO,0,539215,DOCENTE,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189545,DESENVOLVIMENTO DO EXPERIMENTO ESPACIAL MIRAX (MONITOR E IMAGEADOR DE RAIOS X),PESQUISA,01/01/2000,01/01/2000,NÃO,NÃO,1,525315,DOCENTE,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,284728,ESTRUTURA GALÁCTICA,PESQUISA,01/03/2006,01/03/2006,NÃO,NÃO,0,311766,PARTICIPANTE EXTERNO,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,284728,ESTRUTURA GALÁCTICA,PESQUISA,01/03/2006,01/03/2006,NÃO,NÃO,1,539215,DOCENTE,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189558,FORMACAO ESTELAR,PESQUISA,01/01/2009,01/01/2009,NÃO,NÃO,1,525564,DOCENTE,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189574,"EXTRAPOLAÇÃO DE CAMPOS MAGNÉTICOS NO AQMBIENTE EXPLOSIVO COM MAGNETOGRAMAS DE EXPERIMENTOS EMBARCADOS (MDI, SDO)",PESQUISA,01/01/2000,01/01/2000,NÃO,NÃO,1,536830,DOCENTE,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189580,FONTES ASTROFÍSICAS DE ONDAS GRAVITACIONAIS,PESQUISA,01/01/1998,01/01/1998,SIM,NÃO,0,680649,DISCENTE,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189580,FONTES ASTROFÍSICAS DE ONDAS GRAVITACIONAIS,PESQUISA,01/01/1998,01/01/1998,SIM,NÃO,0,307581,PARTICIPANTE EXTERNO,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189580,FONTES ASTROFÍSICAS DE ONDAS GRAVITACIONAIS,PESQUISA,01/01/1998,01/01/1998,SIM,NÃO,0,162114,PARTICIPANTE EXTERNO,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189580,FONTES ASTROFÍSICAS DE ONDAS GRAVITACIONAIS,PESQUISA,01/01/1998,01/01/1998,SIM,NÃO,0,523332,DOCENTE,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189580,FONTES ASTROFÍSICAS DE ONDAS GRAVITACIONAIS,PESQUISA,01/01/1998,01/01/1998,SIM,NÃO,0,183706,DOCENTE,BRASIL
